geoid,month,evictions
4013112502,2023-08,3
4013112502,2023-10,2
4013112502,2023-12,1
4013112502,2024-05,2
4013112502,2024-06,1
4013112502,2024-07,3
4013112502,2024-08,2
4013112502,2024-09,2
4013112502,2024-10,2
4013112502,2024-12,3
4013112504,2022-01,3
4013112504,2022-02,3
4013112504,2022-03,1
4013112504,2022-04,3
4013112504,2022-05,2
4013112504,2022-06,13
4013112504,2022-07,13
4013112504,2022-08,19
4013112504,2022-09,7
4013112504,2022-10,11
4013112504,2022-11,17
4013112504,2022-12,11
4013112504,2023-01,8
4013112504,2023-02,11
4013112504,2023-03,12
4013112504,2023-04,13
4013112504,2023-05,7
4013112504,2023-06,12
4013112504,2023-07,19
4013112504,2023-08,25
4013112504,2023-09,10
4013112504,2023-10,9
4013112504,2023-11,23
4013112504,2023-12,16
4013112504,2024-01,10
4013112504,2024-02,19
4013112504,2024-03,12
4013112504,2024-04,21
4013112504,2024-05,14
4013112504,2024-06,5
4013112504,2024-07,24
4013112504,2024-08,12
4013112504,2024-09,17
4013112504,2024-10,14
4013112504,2024-11,10
4013112504,2024-12,9
4013112507,2022-01,4
4013112507,2022-02,3
4013112507,2022-03,8
4013112507,2022-04,3
4013112507,2022-05,15
4013112507,2022-06,10
4013112507,2022-07,10
4013112507,2022-08,12
4013112507,2022-09,10
4013112507,2022-10,10
4013112507,2022-11,5
4013112507,2022-12,9
4013112507,2023-01,11
4013112507,2023-02,17
4013112507,2023-03,5
4013112507,2023-04,5
4013112507,2023-05,12
4013112507,2023-06,13
4013112507,2023-07,13
4013112507,2023-08,12
4013112507,2023-09,14
4013112507,2023-10,13
4013112507,2023-11,6
4013112507,2023-12,13
4013112507,2024-01,11
4013112507,2024-02,7
4013112507,2024-03,8
4013112507,2024-04,14
4013112507,2024-05,10
4013112507,2024-06,12
4013112507,2024-07,5
4013112507,2024-08,11
4013112507,2024-09,13
4013112507,2024-10,10
4013112507,2024-11,7
4013112507,2024-12,7
4013112508,2022-02,2
4013112508,2022-03,3
4013112508,2022-04,1
4013112508,2022-05,3
4013112508,2022-06,2
4013112508,2022-08,1
4013112508,2022-09,1
4013112508,2022-10,1
4013112508,2023-02,1
4013112508,2023-03,2
4013112508,2023-06,2
4013112508,2023-07,2
4013112508,2023-10,1
4013112508,2023-11,1
4013112508,2023-12,2
4013112508,2024-01,3
4013112508,2024-02,1
4013112508,2024-03,3
4013112508,2024-05,1
4013112508,2024-06,1
4013112508,2024-08,2
4013112508,2024-09,1
4013112508,2024-11,1
4013112508,2024-12,1
4013112510,2022-03,1
4013112510,2022-05,2
4013112510,2022-06,3
4013112510,2022-07,4
4013112510,2022-08,3
4013112510,2022-09,2
4013112510,2022-10,2
4013112510,2022-11,1
4013112510,2023-01,4
4013112510,2023-02,1
